condition,drug_name,review_count,average_rating,total_useful_count,positive_reviews,mixed_reviews,negative_reviews,positive_rate,quality_flags
abnormal uterine bleeding,cryselle,9,4.67,30,3,1,5,0.333,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,alesse,8,4.88,30,3,0,5,0.375,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,quasense,8,2.75,41,0,2,6,0.000,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,previfem,7,6.29,3,3,2,2,0.429,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,tri-lo-sprintec,7,1.14,20,0,0,7,0.000,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,ortho tri-cyclen,6,6.67,19,2,3,1,0.333,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,sronyx,6,4.33,25,2,0,4,0.333,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,jolessa,6,4.17,31,1,1,4,0.167,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,lyza,6,2.33,53,0,1,5,0.000,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,ortho tri-cyclen lo,5,5.60,30,2,1,2,0.400,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,levora,5,5.20,22,2,0,3,0.400,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,microgestin fe 1 20,5,4.60,21,0,3,2,0.000,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,seasonale,5,4.40,18,1,1,3,0.200,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,ethinyl estradiol etonogestrel,5,3.60,0,1,0,4,0.200,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,gildess fe 1 20,5,3.20,2,0,2,3,0.000,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,levlen,4,7.50,21,3,0,1,0.750,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,apri,4,7.00,14,2,1,1,0.500,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,desogestrel ethinyl estradiol,4,7.00,14,2,1,1,0.500,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,errin,4,3.25,82,0,1,3,0.000,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,jolivette,4,2.25,66,0,1,3,0.000,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,conjugated estrogens,3,6.33,11,2,0,1,0.667,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,falmina,3,5.67,6,1,1,1,0.333,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,orsythia,3,5.67,19,1,0,2,0.333,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,lutera,3,4.33,27,1,0,2,0.333,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,aygestin,3,3.67,33,1,0,2,0.333,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,microgestin 1 20,3,3.00,22,0,1,2,0.000,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,junel fe 1.5 30,3,1.00,22,0,0,3,0.000,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,mestranol norethindrone,2,9.00,0,2,0,0,1.000,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,necon 1 50,2,9.00,0,2,0,0,1.000,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,microgestin fe 1.5 30,2,8.50,9,2,0,0,1.000,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,trinessa lo,2,8.00,1,1,1,0,0.500,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,necon 1 35,2,7.00,6,1,1,0,0.500,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,chateal,2,5.50,8,1,0,1,0.500,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,loestrin 21 1 20,2,5.00,7,1,0,1,0.500,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,premarin,2,5.00,11,1,0,1,0.500,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,gildess fe 1.5 30,2,4.50,24,1,0,1,0.500,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,camreselo,1,10.00,2,1,0,0,1.000,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,lo ovral-28,1,10.00,9,1,0,0,1.000,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,ovcon 35,1,10.00,18,1,0,0,1.000,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,tri-lo-marzia,1,10.00,2,1,0,0,1.000,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,low-ogestrel-21,1,8.00,4,1,0,0,1.000,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,ortho cyclen,1,8.00,4,1,0,0,1.000,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,balziva,1,6.00,1,0,1,0,0.000,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,tri-linyah,1,5.00,1,0,1,0,0.000,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,heather,1,4.00,22,0,0,1,0.000,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,ethinyl estradiol ethynodiol,1,3.00,0,0,0,1,0.000,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,portia,1,3.00,2,0,0,1,0.000,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,amethia lo,1,2.00,1,0,0,1,0.000,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,alyacen 1 35,1,1.00,2,0,0,1,0.000,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,camila,1,1.00,23,0,0,1,0.000,patient_reported_not_prescribing_guidance
abortion,misoprostol,5,7.80,55,3,1,1,0.600,patient_reported_not_prescribing_guidance
abortion,cytotec,1,10.00,10,1,0,0,1.000,patient_reported_not_prescribing_guidance
acetaminophen overdose,acetylcysteine,1,9.00,14,1,0,0,1.000,patient_reported_not_prescribing_guidance
acetaminophen overdose,mucomyst-10,1,9.00,14,1,0,0,1.000,patient_reported_not_prescribing_guidance
acial lipoatrophy,dermal filler,1,10.00,0,1,0,0,1.000,patient_reported_not_prescribing_guidance
acial wrinkles,dermal filler,12,4.42,242,4,1,7,0.333,patient_reported_not_prescribing_guidance
acial wrinkles,onabotulinumtoxina,8,5.50,31,4,0,4,0.500,patient_reported_not_prescribing_guidance
acial wrinkles,botox cosmetic,6,5.83,30,3,0,3,0.500,patient_reported_not_prescribing_guidance
acial wrinkles,tazarotene,2,9.00,6,2,0,0,1.000,patient_reported_not_prescribing_guidance
acial wrinkles,abobotulinumtoxina,1,10.00,10,1,0,0,1.000,patient_reported_not_prescribing_guidance
acial wrinkles,dysport,1,10.00,10,1,0,0,1.000,patient_reported_not_prescribing_guidance
acial wrinkles,juvederm voluma xc,1,7.00,0,0,1,0,0.000,patient_reported_not_prescribing_guidance
acial wrinkles,botox,1,1.00,1,0,0,1,0.000,patient_reported_not_prescribing_guidance
acne,isotretinoin,642,8.36,11753,502,78,62,0.782,patient_reported_not_prescribing_guidance
acne,adapalene benzoyl peroxide,518,7.48,5858,353,73,92,0.681,patient_reported_not_prescribing_guidance
acne,doxycycline,460,7.40,6941,284,100,76,0.617,patient_reported_not_prescribing_guidance
acne,epiduo,458,7.48,5750,314,61,83,0.686,patient_reported_not_prescribing_guidance
acne,accutane,406,8.39,9624,320,46,40,0.788,patient_reported_not_prescribing_guidance
acne,benzoyl peroxide clindamycin,323,8.07,4063,243,41,39,0.752,patient_reported_not_prescribing_guidance
acne,minocycline,301,6.35,3669,147,64,90,0.488,patient_reported_not_prescribing_guidance
acne,tretinoin,294,7.96,6765,216,40,38,0.735,patient_reported_not_prescribing_guidance
acne,ethinyl estradiol norgestimate,263,5.88,2370,115,54,94,0.437,patient_reported_not_prescribing_guidance
acne,drospirenone ethinyl estradiol,259,7.00,3635,152,47,60,0.587,patient_reported_not_prescribing_guidance
acne,spironolactone,226,7.83,5805,159,33,34,0.704,patient_reported_not_prescribing_guidance
acne,adapalene,221,7.34,4371,148,27,46,0.670,patient_reported_not_prescribing_guidance
acne,ethinyl estradiol norethindrone,158,3.59,1269,28,23,107,0.177,patient_reported_not_prescribing_guidance
acne,dapsone,157,7.43,2769,113,8,36,0.720,patient_reported_not_prescribing_guidance
acne,aczone,152,7.41,2765,109,8,35,0.717,patient_reported_not_prescribing_guidance
acne,duac,150,7.77,2284,102,29,19,0.680,patient_reported_not_prescribing_guidance
acne,differin,126,7.54,3452,87,13,26,0.690,patient_reported_not_prescribing_guidance
acne,sulfamethoxazole trimethoprim,114,8.27,2009,91,10,13,0.798,patient_reported_not_prescribing_guidance
acne,clindamycin tretinoin,99,7.64,1069,70,14,15,0.707,patient_reported_not_prescribing_guidance
acne,yaz,99,7.21,1733,64,14,21,0.646,patient_reported_not_prescribing_guidance
acne,claravis,89,8.45,1309,69,16,4,0.775,patient_reported_not_prescribing_guidance
acne,yasmin,87,6.86,1498,48,17,22,0.552,patient_reported_not_prescribing_guidance
acne,tri-sprintec,80,5.71,785,33,17,30,0.412,patient_reported_not_prescribing_guidance
acne,trinessa,77,6.58,722,42,14,21,0.545,patient_reported_not_prescribing_guidance
acne,loestrin 24 fe,76,3.16,849,13,9,54,0.171,patient_reported_not_prescribing_guidance
acne,solodyn,74,6.77,1445,40,14,20,0.541,patient_reported_not_prescribing_guidance
acne,clindamycin,61,7.98,1964,48,4,9,0.787,patient_reported_not_prescribing_guidance
acne,bactrim,59,8.97,1484,53,3,3,0.898,patient_reported_not_prescribing_guidance
acne,ziana,59,7.54,761,40,8,11,0.678,patient_reported_not_prescribing_guidance
acne,benzaclin,58,8.90,808,51,3,4,0.879,patient_reported_not_prescribing_guidance
acne,acanya,49,7.61,607,36,3,10,0.735,patient_reported_not_prescribing_guidance
acne,ortho tri-cyclen,45,5.96,594,20,9,16,0.444,patient_reported_not_prescribing_guidance
acne,doryx,44,7.73,961,29,7,8,0.659,patient_reported_not_prescribing_guidance
acne,retin-a,41,8.56,1536,35,4,2,0.854,patient_reported_not_prescribing_guidance
acne,atralin,33,8.12,1063,26,3,4,0.788,patient_reported_not_prescribing_guidance
acne,benzoyl peroxide erythromycin,27,8.44,378,23,3,1,0.852,patient_reported_not_prescribing_guidance
acne,monodox,27,7.70,584,19,3,5,0.704,patient_reported_not_prescribing_guidance
acne,gianvi,27,7.15,207,16,5,6,0.593,patient_reported_not_prescribing_guidance
acne,tri-previfem,26,5.04,207,9,5,12,0.346,patient_reported_not_prescribing_guidance
acne,amnesteem,24,7.67,248,17,2,5,0.708,patient_reported_not_prescribing_guidance
acne,veltin,24,7.33,268,16,4,4,0.667,patient_reported_not_prescribing_guidance
acne,beyaz,22,7.73,189,14,5,3,0.636,patient_reported_not_prescribing_guidance
acne,drospirenone ethinyl estradiol levomefolate calcium,22,7.73,189,14,5,3,0.636,patient_reported_not_prescribing_guidance
acne,azelaic acid,21,8.05,412,14,5,2,0.667,patient_reported_not_prescribing_guidance
acne,loryna,20,5.65,63,7,5,8,0.350,patient_reported_not_prescribing_guidance
acne,sulfacetamide sodium sulfur,19,7.37,243,13,2,4,0.684,patient_reported_not_prescribing_guidance
acne,epiduo forte,19,7.00,78,11,5,3,0.579,patient_reported_not_prescribing_guidance
acne,benzoyl peroxide,18,8.50,314,15,2,1,0.833,patient_reported_not_prescribing_guidance
acne,microgestin fe 1 20,18,4.50,176,4,3,11,0.222,patient_reported_not_prescribing_guidance
acne,bactrim ds,17,7.76,242,13,2,2,0.765,patient_reported_not_prescribing_guidance
acne,onexton,16,8.50,143,14,0,2,0.875,patient_reported_not_prescribing_guidance
acne,junel fe 1 20,16,5.56,152,5,4,7,0.312,patient_reported_not_prescribing_guidance
acne,ocella,15,7.73,125,10,4,1,0.667,patient_reported_not_prescribing_guidance
acne,tetracycline,14,7.57,104,9,3,2,0.643,patient_reported_not_prescribing_guidance
acne,finacea,11,8.91,353,9,2,0,0.818,patient_reported_not_prescribing_guidance
acne,gildess fe 1 20,11,5.00,36,4,1,6,0.364,patient_reported_not_prescribing_guidance
acne,tazarotene,10,7.90,108,8,0,2,0.800,patient_reported_not_prescribing_guidance
acne,minocin,10,7.00,164,5,4,1,0.500,patient_reported_not_prescribing_guidance
acne,zenatane,8,8.25,52,6,1,1,0.750,patient_reported_not_prescribing_guidance
acne,tazorac,8,7.62,102,6,0,2,0.750,patient_reported_not_prescribing_guidance
acne,benzamycin,6,7.67,91,5,0,1,0.833,patient_reported_not_prescribing_guidance
acne,estarylla,6,5.50,30,2,2,2,0.333,patient_reported_not_prescribing_guidance
acne,panoxyl,5,9.60,92,5,0,0,1.000,patient_reported_not_prescribing_guidance
acne,doxy 100,5,9.00,141,4,1,0,0.800,patient_reported_not_prescribing_guidance
acne,clarifoam ef,5,7.40,103,3,1,1,0.600,patient_reported_not_prescribing_guidance
acne,aldactone,4,9.75,413,4,0,0,1.000,patient_reported_not_prescribing_guidance
acne,adoxa,4,8.75,70,3,1,0,0.750,patient_reported_not_prescribing_guidance
acne,absorica,4,6.00,26,2,0,2,0.500,patient_reported_not_prescribing_guidance
acne,gildess fe 1.5 30,4,5.50,5,1,2,1,0.250,patient_reported_not_prescribing_guidance
acne,tri-linyah,4,5.00,18,1,1,2,0.250,patient_reported_not_prescribing_guidance
acne,microgestin fe 1.5 30,4,2.00,5,0,0,4,0.000,patient_reported_not_prescribing_guidance
acne,acticlate,3,8.33,25,2,1,0,0.667,patient_reported_not_prescribing_guidance
acne,altabax,3,8.33,10,3,0,0,1.000,patient_reported_not_prescribing_guidance
acne,retapamulin,3,8.33,10,3,0,0,1.000,patient_reported_not_prescribing_guidance
acne,retin a micro,3,8.33,88,2,1,0,0.667,patient_reported_not_prescribing_guidance
acne,benzefoam,3,7.33,61,2,1,0,0.667,patient_reported_not_prescribing_guidance
acne,smz-tmp ds,3,7.00,66,2,0,1,0.667,patient_reported_not_prescribing_guidance
acne,cephalexin,3,6.67,69,2,0,1,0.667,patient_reported_not_prescribing_guidance
acne,keflex,3,6.67,69,2,0,1,0.667,patient_reported_not_prescribing_guidance
acne,trinessa lo,3,6.00,6,1,1,1,0.333,patient_reported_not_prescribing_guidance
acne,junel fe 1.5 30,3,1.67,1,0,0,3,0.000,patient_reported_not_prescribing_guidance
acne,salicylic acid sulfur,2,10.00,10,2,0,0,1.000,patient_reported_not_prescribing_guidance
acne,fabior,2,9.00,6,2,0,0,1.000,patient_reported_not_prescribing_guidance
acne,magnesium hydroxide,2,9.00,44,2,0,0,1.000,patient_reported_not_prescribing_guidance
acne,myorisan,2,8.50,22,2,0,0,1.000,patient_reported_not_prescribing_guidance
acne,hexachlorophene,2,5.50,1,1,0,1,0.500,patient_reported_not_prescribing_guidance
acne,tretin-x,2,5.00,10,1,0,1,0.500,patient_reported_not_prescribing_guidance
acne,loestrin fe 1 20,2,2.00,1,0,0,2,0.000,patient_reported_not_prescribing_guidance
acne,tri-estarylla,2,1.50,1,0,0,2,0.000,patient_reported_not_prescribing_guidance
acne,avita,1,10.00,14,1,0,0,1.000,patient_reported_not_prescribing_guidance
acne,benzefoam ultra,1,10.00,7,1,0,0,1.000,patient_reported_not_prescribing_guidance
acne,benzoyl peroxide hydrocortisone,1,10.00,0,1,0,0,1.000,patient_reported_not_prescribing_guidance
acne,benzoyl peroxide sulfur,1,10.00,3,1,0,0,1.000,patient_reported_not_prescribing_guidance
acne,clindagel,1,10.00,32,1,0,0,1.000,patient_reported_not_prescribing_guidance
acne,desquam-x wash,1,10.00,34,1,0,0,1.000,patient_reported_not_prescribing_guidance
acne,fostex medicated,1,10.00,3,1,0,0,1.000,patient_reported_not_prescribing_guidance
acne,nuox,1,10.00,3,1,0,0,1.000,patient_reported_not_prescribing_guidance
acne,oxy-10,1,10.00,16,1,0,0,1.000,patient_reported_not_prescribing_guidance
acne,pernox,1,10.00,7,1,0,0,1.000,patient_reported_not_prescribing_guidance
acne,septra,1,10.00,17,1,0,0,1.000,patient_reported_not_prescribing_guidance
acne,vanoxide-hc,1,10.00,0,1,0,0,1.000,patient_reported_not_prescribing_guidance
acne,azelex,1,9.00,9,1,0,0,1.000,patient_reported_not_prescribing_guidance
acne,bp wash,1,9.00,13,1,0,0,1.000,patient_reported_not_prescribing_guidance
acne,vestura,1,9.00,3,1,0,0,1.000,patient_reported_not_prescribing_guidance
acne,vibramycin,1,9.00,10,1,0,0,1.000,patient_reported_not_prescribing_guidance
acne,benzoyl peroxide salicylic acid,1,8.00,0,1,0,0,1.000,patient_reported_not_prescribing_guidance
acne,dynacin,1,8.00,10,1,0,0,1.000,patient_reported_not_prescribing_guidance
acne,inova 4 1,1,8.00,0,1,0,0,1.000,patient_reported_not_prescribing_guidance
acne,phillips' milk of magnesia,1,8.00,40,1,0,0,1.000,patient_reported_not_prescribing_guidance
acne,sumadan,1,8.00,9,1,0,0,1.000,patient_reported_not_prescribing_guidance
acne,necon 1 35,1,7.00,2,0,1,0,0.000,patient_reported_not_prescribing_guidance
acne,cyclafem 1 35,1,6.00,11,0,1,0,0.000,patient_reported_not_prescribing_guidance
acne,ortho-novum 1 35,1,6.00,2,0,1,0,0.000,patient_reported_not_prescribing_guidance
acne,nortrel 1 35,1,2.00,1,0,0,1,0.000,patient_reported_not_prescribing_guidance
acne,femhrt,1,1.00,2,0,0,1,0.000,patient_reported_not_prescribing_guidance
acne,necon 7 7 7,1,1.00,2,0,0,1,0.000,patient_reported_not_prescribing_guidance
acne,salicylic acid,1,1.00,0,0,0,1,0.000,patient_reported_not_prescribing_guidance
actinic keratosis,fluorouracil,20,7.05,498,13,2,5,0.650,patient_reported_not_prescribing_guidance
actinic keratosis,carac,4,9.25,90,4,0,0,1.000,patient_reported_not_prescribing_guidance
actinic keratosis,efudex,4,5.50,219,2,0,2,0.500,patient_reported_not_prescribing_guidance
actinic keratosis,tolak,2,5.50,9,1,0,1,0.500,patient_reported_not_prescribing_guidance
actinic keratosis,ingenol,1,9.00,18,1,0,0,1.000,patient_reported_not_prescribing_guidance
actinic keratosis,picato,1,9.00,18,1,0,0,1.000,patient_reported_not_prescribing_guidance
actor ix deficiency,benefix,1,6.00,3,0,1,0,0.000,patient_reported_not_prescribing_guidance
actor ix deficiency,coagulation factor ix,1,6.00,3,0,1,0,0.000,patient_reported_not_prescribing_guidance
acute coronary syndrome,ticagrelor,18,4.78,344,3,7,8,0.167,patient_reported_not_prescribing_guidance
acute coronary syndrome,brilinta,16,4.31,339,2,6,8,0.125,patient_reported_not_prescribing_guidance
acute coronary syndrome,effient,10,7.80,222,6,3,1,0.600,patient_reported_not_prescribing_guidance
acute coronary syndrome,prasugrel,10,7.80,222,6,3,1,0.600,patient_reported_not_prescribing_guidance
acute coronary syndrome,clopidogrel,1,9.00,106,1,0,0,1.000,patient_reported_not_prescribing_guidance
acute coronary syndrome,plavix,1,9.00,106,1,0,0,1.000,patient_reported_not_prescribing_guidance
acute lymphoblastic leukemia,dasatinib,1,10.00,3,1,0,0,1.000,patient_reported_not_prescribing_guidance
acute lymphoblastic leukemia,gleevec,1,10.00,11,1,0,0,1.000,patient_reported_not_prescribing_guidance
acute lymphoblastic leukemia,imatinib,1,10.00,11,1,0,0,1.000,patient_reported_not_prescribing_guidance
acute lymphoblastic leukemia,sprycel,1,10.00,3,1,0,0,1.000,patient_reported_not_prescribing_guidance
acute lymphoblastic leukemia,iclusig,1,1.00,2,0,0,1,0.000,patient_reported_not_prescribing_guidance
acute lymphoblastic leukemia,ponatinib,1,1.00,2,0,0,1,0.000,patient_reported_not_prescribing_guidance
acute nonlymphocytic leukemia,accutane,1,10.00,11,1,0,0,1.000,patient_reported_not_prescribing_guidance
acute nonlymphocytic leukemia,isotretinoin,1,10.00,11,1,0,0,1.000,patient_reported_not_prescribing_guidance
acute promyelocytic leukemia,arsenic trioxide,1,9.00,9,1,0,0,1.000,patient_reported_not_prescribing_guidance
acute promyelocytic leukemia,tretinoin,1,8.00,2,1,0,0,1.000,patient_reported_not_prescribing_guidance
acute promyelocytic leukemia,vesanoid,1,8.00,2,1,0,0,1.000,patient_reported_not_prescribing_guidance
addison's disease,dexamethasone,1,10.00,11,1,0,0,1.000,patient_reported_not_prescribing_guidance
addison's disease,hydrocortisone,1,10.00,0,1,0,0,1.000,patient_reported_not_prescribing_guidance
adhd,lisdexamfetamine,498,7.66,16484,343,78,77,0.689,patient_reported_not_prescribing_guidance
adhd,vyvanse,490,7.64,16478,336,77,77,0.686,patient_reported_not_prescribing_guidance
adhd,methylphenidate,456,7.31,15136,283,100,73,0.621,patient_reported_not_prescribing_guidance
adhd,amphetamine dextroamphetamine,362,7.97,12745,271,51,40,0.749,patient_reported_not_prescribing_guidance
adhd,atomoxetine,247,5.53,8927,100,42,105,0.405,patient_reported_not_prescribing_guidance
adhd,strattera,239,5.53,8915,97,40,102,0.406,patient_reported_not_prescribing_guidance
adhd,concerta,232,7.09,9521,138,50,44,0.595,patient_reported_not_prescribing_guidance
adhd,adderall,178,8.28,8690,139,25,14,0.781,patient_reported_not_prescribing_guidance
adhd,guanfacine,141,5.81,7399,65,18,58,0.461,patient_reported_not_prescribing_guidance
adhd,adderall xr,117,8.21,3656,91,18,8,0.778,patient_reported_not_prescribing_guidance
adhd,dexmethylphenidate,114,7.40,3888,79,16,19,0.693,patient_reported_not_prescribing_guidance
adhd,intuniv,98,6.19,6733,49,14,35,0.500,patient_reported_not_prescribing_guidance
adhd,dextroamphetamine,82,8.66,2905,69,7,6,0.841,patient_reported_not_prescribing_guidance
adhd,bupropion,67,7.60,4827,47,9,11,0.701,patient_reported_not_prescribing_guidance
adhd,ritalin,62,7.32,2426,37,15,10,0.597,patient_reported_not_prescribing_guidance
adhd,daytrana,57,8.18,1421,44,7,6,0.772,patient_reported_not_prescribing_guidance
adhd,dexedrine,53,8.36,2473,42,6,5,0.792,patient_reported_not_prescribing_guidance
adhd,focalin xr,53,7.81,1890,42,4,7,0.792,patient_reported_not_prescribing_guidance
adhd,focalin,52,6.87,1977,31,9,12,0.596,patient_reported_not_prescribing_guidance
adhd,amphetamine,41,6.46,403,23,6,12,0.561,patient_reported_not_prescribing_guidance
adhd,clonidine,34,8.21,1979,26,4,4,0.765,patient_reported_not_prescribing_guidance
adhd,metadate cd,33,7.24,1020,20,9,4,0.606,patient_reported_not_prescribing_guidance
adhd,methamphetamine,21,8.57,1289,17,2,2,0.810,patient_reported_not_prescribing_guidance
adhd,adzenys xr-odt,20,5.75,173,9,3,8,0.450,patient_reported_not_prescribing_guidance
adhd,kapvay,17,7.35,1316,11,2,4,0.647,patient_reported_not_prescribing_guidance
adhd,desoxyn,16,9.75,1263,15,1,0,0.938,patient_reported_not_prescribing_guidance
adhd,modafinil,16,8.75,833,13,2,1,0.812,patient_reported_not_prescribing_guidance
adhd,evekeo,14,7.14,162,9,3,2,0.643,patient_reported_not_prescribing_guidance
adhd,quillivant xr,14,5.36,114,5,4,5,0.357,patient_reported_not_prescribing_guidance
adhd,mydayis,13,4.38,114,4,2,7,0.308,patient_reported_not_prescribing_guidance
adhd,armodafinil,12,8.08,327,10,0,2,0.833,patient_reported_not_prescribing_guidance
adhd,ritalin la,9,9.22,154,8,1,0,0.889,patient_reported_not_prescribing_guidance
adhd,wellbutrin xl,9,9.00,674,8,1,0,0.889,patient_reported_not_prescribing_guidance
adhd,zenzedi,7,8.43,94,6,0,1,0.857,patient_reported_not_prescribing_guidance
adhd,methylin,7,8.29,187,5,2,0,0.714,patient_reported_not_prescribing_guidance
adhd,nuvigil,7,8.29,282,6,0,1,0.857,patient_reported_not_prescribing_guidance
adhd,cylert,6,9.50,67,6,0,0,1.000,patient_reported_not_prescribing_guidance
adhd,pemoline,6,9.50,67,6,0,0,1.000,patient_reported_not_prescribing_guidance
adhd,aptensio xr,6,6.83,38,3,3,0,0.500,patient_reported_not_prescribing_guidance
adhd,provigil,5,9.20,534,4,1,0,0.800,patient_reported_not_prescribing_guidance
adhd,methylin er,5,7.80,112,4,0,1,0.800,patient_reported_not_prescribing_guidance
adhd,dyanavel xr,5,7.40,59,4,0,1,0.800,patient_reported_not_prescribing_guidance
adhd,omega-3 polyunsaturated fatty acids,4,8.50,223,3,1,0,0.750,patient_reported_not_prescribing_guidance
adhd,wellbutrin,4,5.50,448,2,0,2,0.500,patient_reported_not_prescribing_guidance
adhd,wellbutrin sr,3,9.67,580,3,0,0,1.000,patient_reported_not_prescribing_guidance
adhd,desvenlafaxine,3,8.67,49,2,1,0,0.667,patient_reported_not_prescribing_guidance
adhd,catapres,2,10.00,90,2,0,0,1.000,patient_reported_not_prescribing_guidance
adhd,amantadine,2,9.00,43,2,0,0,1.000,patient_reported_not_prescribing_guidance
adhd,pristiq,2,8.00,43,1,1,0,0.500,patient_reported_not_prescribing_guidance
adhd,ritalin-sr,2,5.50,4,1,0,1,0.500,patient_reported_not_prescribing_guidance
adhd,procentra,1,10.00,2,1,0,0,1.000,patient_reported_not_prescribing_guidance
adhd,selegiline,1,10.00,17,1,0,0,1.000,patient_reported_not_prescribing_guidance
adhd,desipramine,1,6.00,8,0,1,0,0.000,patient_reported_not_prescribing_guidance
adhd,imipramine,1,3.00,23,0,0,1,0.000,patient_reported_not_prescribing_guidance
